觀測時間(hour),測站氣壓(hPa),海平面氣壓(hPa),氣溫(℃),露點溫度(℃),相對溼度(%),風速(m/s),風向(360degree),最大瞬間風(m/s),最大瞬間風風向(360degree),降水量(mm),降水時數(h),日照時數(h),全天空日射量(MJ/㎡),能見度(km),紫外線指數,總雲量(0~10),date
11,1018.8,1022.4,24.5,10.8,42,4.1,90,12.1,110,0.0,0.0,1.0,2.37,40.0,5,1.0,2023-11-28
12,1017.8,1021.3,24.4,11.4,44,4.5,110,11.7,90,0.0,0.0,1.0,2.55,--,6,--,2023-11-28
13,1016.7,1020.2,24.9,10.8,41,4.6,100,12.1,130,0.0,0.0,1.0,2.47,--,5,--,2023-11-28
14,1016.1,1019.6,25.0,11.2,42,4.8,90,12.8,100,0.0,0.0,1.0,2.12,40.0,4,1.0,2023-11-28
15,1015.8,1019.3,23.9,11.3,45,5.0,100,13.4,80,0.0,0.0,1.0,1.59,--,2,--,2023-11-28
16,1015.7,1019.3,23.2,11.6,48,6.2,100,14.5,90,0.0,0.0,1.0,0.90,--,1,--,2023-11-28
17,1016.1,1019.7,22.3,12.3,53,4.7,100,13.7,90,0.0,0.0,0.7,0.23,60.0,0,1.0,2023-11-28
18,1016.2,1019.8,21.9,12.5,55,4.9,100,13.4,90,0.0,0.0,0.0,0.00,--,0,--,2023-11-28
19,1016.7,1020.3,21.8,12.7,56,5.4,90,12.3,100,0.0,0.0,0.0,0.00,--,0,--,2023-11-28
20,1016.8,1020.4,21.7,12.8,57,4.5,90,12.5,80,0.0,0.0,--,0.00,--,0,--,2023-11-28
21,1016.9,1020.5,21.7,13.1,58,4.5,100,13.6,80,0.0,0.0,--,0.00,--,0,--,2023-11-28
22,1016.5,1020.1,21.8,13.5,59,3.9,90,10.9,70,0.0,0.0,--,0.00,--,0,--,2023-11-28
23,1016.1,1019.7,21.8,13.7,60,3.4,100,9.9,100,0.0,0.0,--,0.00,--,0,--,2023-11-28
24,1015.6,1019.2,21.8,13.5,59,3.4,90,9.7,120,0.0,0.0,--,0.00,--,0,--,2023-11-28
01,1015.0,1018.6,21.7,13.9,61,3.1,100,7.9,80,0.0,0.0,--,0.00,--,0,--,2023-11-29
02,1014.7,1018.3,21.5,14.2,63,2.7,80,9.6,100,0.0,0.0,--,0.00,--,0,--,2023-11-29
03,1014.8,1018.4,21.4,14.6,65,2.2,80,6.9,90,0.0,0.0,--,0.00,--,0,--,2023-11-29
04,1015.0,1018.6,21.7,14.6,64,1.9,90,6.8,60,0.0,0.0,--,0.00,--,0,--,2023-11-29
05,1015.2,1018.8,21.8,14.7,64,1.7,90,5.9,80,0.0,0.0,--,0.00,--,0,--,2023-11-29
06,1015.8,1019.4,22.0,14.9,64,1.4,80,4.6,80,0.0,0.0,0.0,0.00,--,0,--,2023-11-29
07,1016.5,1020.1,22.0,15.8,68,1.4,90,4.4,70,T,0.1,0.0,0.04,--,0,--,2023-11-29
08,1017.2,1020.8,22.8,16.4,67,0.8,80,3.1,80,T,0.1,0.0,0.28,35.0,0,9.0,2023-11-29
09,1017.4,1021.0,24.0,16.6,63,0.9,100,3.3,80,T,0.2,0.2,0.84,30.0,1,9.0,2023-11-29
10,1016.8,1020.3,24.6,16.6,61,1.3,100,5.1,120,T,0.1,0.2,1.13,--,2,--,2023-11-29
11,1016.1,1019.6,25.9,16.8,57,1.3,100,3.8,120,0.0,0.0,0.1,1.55,40.0,4,9.0,2023-11-29
12,1015.8,1019.3,25.8,16.9,58,0.8,110,3.0,130,T,0.2,0.0,0.78,--,3,--,2023-11-29
13,1015.3,1018.8,26.4,17.5,58,0.4,300,2.6,310,0.0,0.0,0.0,0.85,--,3,--,2023-11-29
14,1015.2,1018.7,26.0,17.9,61,2.8,330,5.0,340,T,0.4,0.0,0.81,25.0,2,9.0,2023-11-29
15,1015.2,1018.7,25.5,18.0,63,1.2,340,5.5,330,0.0,0.0,0.0,0.57,--,1,--,2023-11-29
16,1015.7,1019.2,25.2,17.7,63,1.9,170,4.1,180,T,0.1,0.0,0.18,--,0,--,2023-11-29
17,1015.4,1018.9,23.7,16.0,62,4.7,160,8.2,170,0.0,0.0,0.0,0.10,25.0,0,10.0,2023-11-29
18,1015.6,1019.2,23.5,16.1,63,1.6,160,8.9,170,0.0,0.0,0.0,0.00,--,0,--,2023-11-29
19,1016.2,1019.8,23.6,16.2,63,1.5,180,3.0,170,0.0,0.0,0.0,0.00,--,0,--,2023-11-29
20,1016.5,1020.1,23.4,16.9,67,1.3,140,3.3,160,0.0,0.0,--,0.00,--,0,--,2023-11-29
21,1016.6,1020.2,23.2,17.0,68,1.1,150,2.4,160,T,0.1,--,0.00,--,0,--,2023-11-29
22,1017.0,1020.6,22.9,16.7,68,0.8,220,2.0,260,0.0,0.0,--,0.00,--,0,--,2023-11-29
23,1017.4,1021.0,22.5,17.2,72,0.6,170,1.8,250,0.0,0.0,--,0.00,--,0,--,2023-11-29
24,1017.1,1020.7,22.3,17.2,73,0.7,190,2.6,160,0.0,0.0,--,0.00,--,0,--,2023-11-29
01,1017.2,1020.8,21.8,17.8,78,1.5,170,4.0,160,0.0,0.0,--,0.00,--,0,--,2023-11-30
02,1017.3,1020.9,21.8,17.8,78,0.9,140,2.4,330,0.0,0.0,--,0.00,--,0,--,2023-11-30
03,1017.7,1021.3,21.8,17.8,78,1.0,170,3.1,170,0.0,0.0,--,0.00,--,0,--,2023-11-30
04,1017.7,1021.3,21.7,17.5,77,1.5,110,2.7,140,0.0,0.0,--,0.00,--,0,--,2023-11-30
05,1017.7,1021.3,21.5,16.3,72,1.4,150,3.4,110,T,0.2,--,0.00,--,0,--,2023-11-30
06,1018.3,1021.9,21.2,17.2,78,0.5,110,2.7,120,0.0,0.0,0.0,0.00,--,0,--,2023-11-30
07,1018.9,1022.5,21.0,19.1,89,1.5,50,3.9,40,T,0.5,0.0,0.02,--,0,--,2023-11-30
08,1019.7,1023.3,20.1,18.6,91,1.8,90,9.1,80,T,0.9,0.0,0.14,3.5,0,10.0,2023-11-30
09,1020.4,1024.0,20.1,17.1,83,4.2,90,10.9,80,T,0.6,0.0,0.51,10.0,1,10.0,2023-11-30
10,1020.7,1024.3,20.1,17.1,83,3.4,90,10.2,80,T,0.1,0.0,0.34,--,1,--,2023-11-30
11,1019.9,1023.5,19.9,17.9,88,3.2,100,10.0,90,0.5,1.0,0.0,0.66,10.0,2,10.0,2023-11-30
12,1019.4,1023.0,20.2,17.4,84,3.4,90,9.3,70,T,0.7,0.0,0.74,--,2,--,2023-11-30
13,1018.7,1022.3,20.2,16.7,80,3.8,80,9.4,80,0.0,0.0,0.0,0.42,--,1,--,2023-11-30
14,1018.3,1021.9,19.9,16.9,83,3.0,100,12.3,100,T,0.5,0.0,0.21,20.0,1,10.0,2023-11-30
15,1018.5,1022.1,19.8,17.9,89,2.9,90,8.2,80,T,0.3,0.0,0.20,--,1,--,2023-11-30
16,1019.0,1022.6,19.5,17.5,88,3.1,100,10.4,80,T,1.0,0.0,0.08,--,0,--,2023-11-30
17,1019.6,1023.2,19.4,17.6,89,2.9,100,10.0,80,T,1.0,0.0,0.04,12.0,0,10.0,2023-11-30
18,1020.2,1023.8,19.1,17.9,93,2.8,90,9.3,100,T,1.0,0.0,0.00,--,0,--,2023-11-30
19,1020.5,1024.1,18.9,17.6,92,2.7,100,10.0,80,0.5,0.7,0.0,0.00,--,0,--,2023-11-30
20,1020.9,1024.5,18.8,17.3,91,2.7,100,8.0,90,T,0.5,--,0.00,--,0,--,2023-11-30
21,1020.8,1024.4,18.9,17.2,90,2.4,100,7.9,100,T,0.3,--,0.00,--,0,--,2023-11-30
22,1020.9,1024.5,18.9,17.1,89,2.5,100,8.0,110,0.0,0.0,--,0.00,--,0,--,2023-11-30
23,1020.8,1024.4,18.5,17.4,93,2.9,100,9.0,80,T,0.6,--,0.00,--,0,--,2023-11-30
24,1020.2,1023.8,18.5,17.7,95,2.4,90,7.6,80,0.5,0.9,--,0.00,--,0,--,2023-11-30
